date,day,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds)
11/1/2022,Wednesday,21700,20400,94.01%,1300,0:00:17,0:02:14,0:02:45,76.28%
11/2/2022,Thursday,20000,18200,91.00%,1800,0:00:20,0:02:22,0:06:55,72.73%
11/3/2022,Friday,21600,19800,91.67%,1800,0:00:18,0:02:38,0:03:50,74.30%
11/4/2022,Saturday,15500,14500,93.55%,1000,0:00:15,0:02:29,0:03:12,79.61%
11/5/2022,Sunday,19700,3700,100.00%,16000,0:00:03,0:02:06,0:00:35,97.30%
11/6/2022,Monday,31500,30400,96.51%,1100,0:00:18,0:01:35,0:02:37,77.17%
11/7/2022,Tuesday,25200,24400,96.83%,800,0:00:13,0:01:50,0:02:02,82.00%
11/8/2022,Wednesday,21300,20500,96.24%,800,0:00:10,0:02:10,0:03:22,88.10%
11/9/2022,Thursday,21900,20000,91.32%,1900,0:00:15,0:02:18,0:06:12,79.45%
11/10/2022,Friday,37100,34800,93.80%,2300,0:00:19,0:01:40,0:03:29,73.63%
11/11/2022,Saturday,16600,16400,98.80%,200,0:00:12,0:02:10,0:02:46,81.33%
11/12/2022,Sunday,19700,3200,100.00%,16500,0:00:02,0:02:03,0:00:03,100.00%
11/13/2022,Monday,23100,22200,96.10%,900,0:00:08,0:01:49,0:02:18,86.46%
11/14/2022,Tuesday,20500,19700,96.10%,800,0:00:07,0:01:52,0:02:48,92.61%
11/15/2022,Wednesday,,,,,,,,
11/16/2022,Thursday,18000,17400,96.67%,600,0:00:13,0:02:18,0:03:26,83.80%
11/17/2022,Friday,22600,21100,93.36%,1500,0:00:20,0:02:04,0:04:53,76.23%
11/18/2022,Saturday,22600,21200,93.81%,1400,0:00:10,0:02:03,0:02:45,84.44%
11/19/2022,Sunday,19700,4400,97.78%,15300,0:00:02,0:02:04,0:00:55,97.78%
11/20/2022,Monday,21800,19400,88.99%,2400,0:00:26,0:02:43,0:06:28,68.98%
11/21/2022,Tuesday,18700,17400,93.05%,1300,0:00:15,0:02:16,0:04:39,81.52%
11/22/2022,Wednesday,19100,18400,96.34%,700,0:00:10,0:02:09,0:03:40,85.64%
11/23/2022,Thursday,18800,17400,92.55%,1400,0:00:15,0:02:25,0:03:09,76.88%
11/24/2022,Friday,15400,14800,96.10%,600,0:00:10,0:02:27,0:03:36,85.06%
11/25/2022,Saturday,16600,15000,90.36%,1600,0:00:18,0:02:26,0:04:38,76.83%
11/26/2022,Sunday,19700,5700,98.28%,14000,0:00:04,0:02:26,0:00:58,94.83%
11/27/2022,Monday,16000,15300,95.63%,700,0:00:10,0:02:23,0:02:45,84.91%
11/28/2022,Tuesday,19700,7900,91.86%,11800,0:00:32,0:02:43,0:04:40,61.63%
11/29/2022,Wednesday,18000,17000,94.44%,1000,0:00:23,0:02:31,0:05:45,77.53%
11/30/2022,Thursday,21000,19200,91.43%,1800,0:00:26,0:02:16,0:05:35,67.46%
12/1/2022,Friday,16300,15700,96.32%,600,0:00:14,0:02:19,0:02:55,81.37%
12/2/2022,Saturday,14300,14000,97.90%,300,0:00:15,0:02:20,0:04:43,82.52%
12/3/2022,Sunday,19700,5500,96.49%,14200,0:00:06,0:02:03,0:01:50,91.23%
12/4/2022,Monday,17900,17200,96.09%,700,0:00:13,0:02:17,0:03:23,82.49%
12/5/2022,Tuesday,19400,18400,94.85%,1000,0:00:24,0:02:24,0:03:19,70.10%
12/6/2022,Wednesday,20100,19600,97.51%,500,0:00:15,0:02:16,0:04:53,81.59%
12/7/2022,Thursday,21800,18900,86.70%,2900,0:00:32,0:02:37,0:08:04,57.41%
12/8/2022,Friday,19400,19000,97.94%,400,0:00:16,0:02:22,0:02:02,81.77%
12/9/2022,Saturday,22700,21900,96.48%,800,0:00:15,0:02:44,0:03:55,83.63%
12/10/2022,Sunday,19700,5200,100.00%,14500,0:00:09,0:02:16,0:00:52,94.23%
12/11/2022,Monday,38500,37000,96.10%,1500,0:00:20,0:02:11,0:03:10,76.19%
12/12/2022,Tuesday,13700,13000,94.89%,700,0:00:16,0:02:26,0:09:47,75.91%
12/13/2022,Wednesday,25400,25200,99.21%,200,0:00:10,0:02:08,0:01:10,91.34%
12/14/2022,Thursday,21100,20600,97.63%,500,0:00:11,0:02:24,0:04:37,87.14%
12/15/2022,Friday,28200,27900,98.94%,300,0:00:07,0:02:18,0:01:11,93.21%
12/16/2022,Saturday,26200,26000,99.24%,200,0:00:08,0:02:31,0:01:13,90.80%
12/17/2022,Sunday,19700,6300,96.92%,13400,0:00:12,0:02:22,0:02:10,85.94%
12/18/2022,Monday,32500,32300,99.38%,200,0:00:05,0:02:13,0:01:14,96.90%
12/19/2022,Tuesday,23500,23000,97.87%,500,0:00:05,0:02:19,0:00:58,96.14%
12/20/2022,Wednesday,21500,21200,98.60%,300,0:00:05,0:02:14,0:00:58,95.81%
12/21/2022,Thursday,19700,8500,100.00%,11200,0:00:03,0:02:26,0:00:55,97.65%
12/22/2022,Friday,19500,19500,100.00%,0,0:00:05,0:02:24,0:02:13,97.44%
12/23/2022,Saturday,18800,18200,96.81%,600,0:00:15,0:02:14,0:01:51,83.61%
12/24/2022,Sunday,19700,5800,100.00%,13900,0:00:06,0:02:22,0:00:52,94.83%
12/25/2022,Monday,25100,24700,98.41%,400,0:00:14,0:02:16,0:01:53,83.53%
12/26/2022,Tuesday,,,,,,,,
12/27/2022,Wednesday,22800,21300,93.42%,1500,0:00:26,0:02:16,0:03:07,63.56%
12/28/2022,Thursday,16500,16300,98.79%,200,0:00:09,0:02:25,0:02:20,90.24%
12/29/2022,Friday,18500,17900,96.76%,600,0:00:17,0:02:17,0:02:33,78.57%
12/30/2022,Saturday,17200,16400,95.35%,800,0:00:18,0:02:27,0:04:09,77.06%
12/31/2022,Sunday,19700,5100,89.47%,14600,0:00:07,0:01:47,0:03:40,90.57%
1/1/2023,Monday,20000,19200,96.00%,800,0:00:10,0:02:18,0:02:49,86.43%
1/2/2023,Tuesday,20200,19900,98.51%,300,0:00:08,0:02:05,0:01:17,91.00%
1/3/2023,Wednesday,21700,21200,97.70%,500,0:00:07,0:01:55,0:01:50,94.42%
1/4/2023,Thursday,22500,22300,99.11%,200,0:00:09,0:02:09,0:01:06,91.93%
1/5/2023,Friday,23500,23100,98.30%,400,0:00:08,0:02:19,0:01:06,95.71%
1/6/2023,Saturday,20200,20100,99.50%,100,0:00:08,0:02:21,0:01:53,94.55%
1/7/2023,Sunday,19700,3900,90.70%,15800,0:00:11,0:02:15,0:01:50,76.19%
1/8/2023,Monday,19400,18700,96.39%,700,0:00:10,0:02:27,0:02:30,87.43%
1/9/2023,Tuesday,20200,19900,98.51%,300,0:00:13,0:02:23,0:01:58,86.07%
1/10/2023,Wednesday,14600,14000,95.89%,600,0:00:12,0:02:13,0:04:35,83.45%
1/11/2023,Thursday,14700,14500,98.64%,200,0:00:09,0:02:15,0:00:58,91.16%
1/12/2023,Friday,15500,14500,93.55%,1000,0:00:12,0:02:33,0:04:33,82.24%
1/13/2023,Saturday,15700,15600,99.36%,100,0:00:09,0:02:24,0:00:53,92.95%
1/14/2023,Sunday,19700,3600,94.74%,16100,0:00:13,0:02:11,0:00:59,83.78%
1/15/2023,Monday,16600,16200,97.59%,400,0:00:09,0:02:29,0:02:45,89.09%
1/16/2023,Tuesday,22600,21600,95.58%,1000,0:00:13,0:02:15,0:01:46,81.45%
1/17/2023,Wednesday,25300,24700,97.63%,600,0:00:10,0:01:54,0:01:17,88.49%
1/18/2023,Thursday,13400,13400,100.00%,0,0:00:03,0:02:13,0:00:26,100.00%
1/19/2023,Friday,19700,6700,95.71%,13000,0:00:12,0:02:01,0:01:16,83.82%
1/20/2023,Saturday,19700,8200,98.80%,11500,0:00:07,0:02:03,0:01:16,95.18%
1/21/2023,Sunday,19700,4000,95.24%,15700,0:00:08,0:01:51,0:01:36,90.24%
1/22/2023,Monday,19700,6400,96.97%,13300,0:00:05,0:02:00,0:01:39,95.45%
1/23/2023,Tuesday,15300,14600,95.42%,700,0:00:20,0:02:08,0:04:32,76.00%
